text,label
Government announces new education policy for schools,REAL
Scientists discover water on Mars in latest mission report,REAL
Local hospital opens new cardiac care center,REAL
Election commission releases official voting schedule,REAL
New railway line inaugurated by transport ministry,REAL
Aliens land in city park and offer free gold to everyone,FAKE
Drinking only coffee for a week guarantees perfect health,FAKE
Secret machine can make anyone invisible in 10 seconds,FAKE
Government confirms the moon is made of chocolate,FAKE
Celebrity reveals magical pill that stops aging forever,FAKE
